from python

/
m_dot_max = 2.3634785 kg/s
/
average flow rate= 1.416791828214286 kg/s
------------------------------------------------------

# 
# Run type: NEW
# Monitor type: Flow rate across surface, Area =   0.18000000E-02
# "Time","pmass" 
    0.0000000    ,    0.0000000    
   0.10008276E-01,    0.0000000    
   0.20003383E-01,    0.0000000    
   0.30011659E-01,    0.0000000    
   0.40006766E-01,    0.0000000    
   0.50001873E-01,    0.0000000    
   0.60010149E-01,    0.0000000    
   0.70005257E-01,    0.0000000    
   0.80000364E-01,    0.0000000    
   0.90008640E-01,    0.0000000    
   0.10000375    ,    0.0000000    
   0.10999885    ,    0.0000000    
   0.12000713    ,    0.0000000    
   0.13000224    ,    0.0000000    
   0.14001051    ,    0.0000000    
   0.15000562    ,    0.0000000    
   0.16000073    ,    0.0000000    
   0.17000900    ,    0.0000000    
   0.18000411    ,  -0.55419290    
   0.18999922    ,   -2.2568908    
   0.20000749    ,   -2.3634785    
   0.21000260    ,   -1.7977661    
   0.22001088    ,   -1.6375647    
   0.23000598    ,   -1.5601689    
   0.24000109    ,   -1.2066270    
   0.25000937    ,   -1.1570740    
   0.26000447    ,   -1.2547235    
   0.26999958    ,   -1.2634349    
   0.28000786    ,   -1.8419346    
   0.29000296    ,   -1.7253829    
   0.30001124    ,   -1.6529623    
   0.31000635    ,   -1.4876631    
   0.32000146    ,   -1.3156708    
   0.33000973    ,   -1.3397721    
   0.34000484    ,   -1.6866435    
   0.34999995    ,   -1.5036115    
   0.36000822    ,   -1.3680226    
   0.37000333    ,   -1.7085796    
   0.40000182    ,   -1.4231257    
   0.45000369    ,   -1.3021671    
   0.50000557    ,   -1.4589919    
   0.55000744    ,   -1.2116271    
   0.60000931    ,   -1.4385856    
   0.65001119    ,   -1.1091520    
   0.69999989    ,  -0.74561116    
   0.75000176    ,  -0.29874633    
   0.80000364    ,    0.0000000    
